Unnamed: 0,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
90,LP001316,Male,Yes,0,Graduate,No,29580,29000.0,1310000.0,360.0,1.0,Semiurban,Y
533,LP002729,Male,No,1,Graduate,No,112500,0.0,1960000.0,360.0,,Semiurban,N
452,LP002448,Male,Yes,0,Graduate,No,39480,17330.0,1490000.0,360.0,0.0,Rural,N
355,LP002144,Female,No,,Graduate,No,38130,0.0,1160000.0,180.0,1.0,Urban,Y
266,LP001877,Male,Yes,2,Graduate,No,47080,13870.0,1500000.0,360.0,1.0,Semiurban,Y
118,LP001421,Male,Yes,0,Graduate,No,55680,21420.0,1750000.0,360.0,1.0,Rural,N
144,LP001508,Male,Yes,2,Graduate,No,117570,0.0,1870000.0,180.0,1.0,Urban,Y
403,LP002300,Female,No,0,Not Graduate,No,19630,0.0,530000.0,360.0,1.0,Semiurban,Y
603,LP002958,Male,No,0,Graduate,No,36760,43010.0,1720000.0,360.0,1.0,Rural,Y
366,LP002187,Male,No,0,Graduate,No,25000,0.0,960000.0,480.0,1.0,Semiurban,N
568,LP002840,Female,No,0,Graduate,No,23780,0.0,90000.0,360.0,1.0,Urban,N
235,LP001784,Male,Yes,1,Graduate,No,55000,12600.0,1700000.0,360.0,1.0,Rural,Y
239,LP001792,Male,Yes,1,Graduate,No,33150,0.0,960000.0,360.0,1.0,Semiurban,Y
315,LP002031,Male,Yes,1,Not Graduate,No,33990,16400.0,1110000.0,180.0,1.0,Urban,Y
318,LP002043,Female,No,1,Graduate,No,35410,0.0,1120000.0,360.0,,Semiurban,Y
132,LP001478,Male,No,0,Graduate,No,27180,0.0,700000.0,360.0,1.0,Semiurban,Y
566,LP002836,Male,No,0,Graduate,No,33330,0.0,700000.0,360.0,1.0,Urban,Y
279,LP001908,Female,Yes,0,Not Graduate,No,41000,0.0,1240000.0,360.0,,Rural,Y
493,LP002582,Female,No,0,Not Graduate,Yes,172630,0.0,2250000.0,360.0,1.0,Semiurban,Y
358,LP002158,Male,Yes,0,Not Graduate,No,30000,16660.0,1000000.0,480.0,0.0,Urban,N
425,LP002366,Male,Yes,0,Graduate,No,26660,43000.0,1210000.0,360.0,1.0,Rural,Y
592,LP002933,,No,3+,Graduate,Yes,93570,0.0,2920000.0,360.0,1.0,Semiurban,Y
308,LP001996,Male,No,0,Graduate,No,202330,0.0,4800000.0,360.0,1.0,Rural,N
96,LP001327,Female,Yes,0,Graduate,No,24840,23020.0,1370000.0,360.0,1.0,Semiurban,Y
443,LP002422,Male,No,1,Graduate,No,377190,0.0,1520000.0,360.0,1.0,Semiurban,Y
532,LP002723,Male,No,2,Graduate,No,35880,0.0,1100000.0,360.0,0.0,Rural,N
399,LP002287,Female,No,0,Graduate,No,15000,18000.0,1030000.0,360.0,0.0,Semiurban,N
89,LP001310,Male,Yes,0,Graduate,No,56950,41670.0,1750000.0,360.0,1.0,Semiurban,Y
271,LP001891,Male,Yes,0,Graduate,No,111460,0.0,1360000.0,360.0,1.0,Urban,Y
563,LP002821,Male,No,0,Not Graduate,Yes,58000,0.0,1320000.0,360.0,1.0,Semiurban,Y
