iter	Passed	Remaining
0	54	54015
1	56	28333
2	57	19151
3	57	14436
4	60	11942
5	62	10347
6	64	9165
7	66	8299
8	67	7457
9	69	6909
10	71	6406
11	73	6046
12	74	5670
13	77	5425
14	79	5192
15	81	5013
16	83	4851
17	86	4718
18	88	4578
19	91	4482
20	93	4364
21	96	4273
22	98	4169
23	100	4082
24	102	3990
25	104	3905
26	106	3828
27	108	3756
28	110	3689
29	112	3625
30	114	3569
31	116	3511
32	118	3463
33	119	3394
34	121	3345
35	123	3296
36	123	3214
37	124	3161
38	125	3104
39	127	3049
40	127	2978
41	128	2930
42	128	2866
43	129	2824
44	132	2808
45	133	2767
46	134	2728
47	135	2677
48	136	2642
49	137	2605
50	138	2571
51	139	2538
52	140	2505
53	141	2475
54	142	2445
55	143	2417
56	144	2389
57	145	2361
58	146	2335
59	147	2310
60	148	2286
61	149	2263
62	150	2240
63	151	2218
64	152	2197
65	153	2177
66	154	2156
67	155	2137
68	157	2118
69	158	2100
70	159	2082
71	160	2064
72	161	2048
73	162	2031
74	163	2014
75	164	1999
76	165	1982
77	166	1967
78	167	1952
79	168	1937
80	169	1923
81	170	1909
82	171	1895
83	172	1883
84	173	1871
85	175	1861
86	176	1852
87	177	1843
88	179	1835
89	180	1825
90	181	1816
91	183	1808
92	184	1798
93	185	1791
94	187	1782
95	188	1770
96	189	1763
97	190	1755
98	191	1741
99	192	1733
100	193	1723
101	194	1716
102	195	1700
103	196	1693
104	197	1686
105	198	1677
106	200	1671
107	201	1664
108	202	1658
109	204	1651
110	205	1644
111	206	1638
112	207	1632
113	209	1626
114	210	1620
115	211	1608
116	212	1602
117	213	1595
118	214	1587
119	215	1580
120	216	1574
121	217	1567
122	218	1560
123	219	1553
124	220	1546
125	221	1534
126	221	1525
127	223	1519
128	224	1513
129	225	1507
130	226	1501
131	227	1494
132	228	1488
133	229	1481
134	230	1475
135	231	1469
136	232	1463
137	233	1458
138	234	1453
139	235	1448
140	236	1443
141	237	1438
142	239	1433
143	240	1428
144	240	1419
145	241	1414
146	242	1405
147	243	1400
148	244	1395
149	245	1391
150	246	1387
151	247	1382
152	248	1377
153	249	1373
154	250	1368
155	252	1363
156	253	1359
157	254	1355
158	255	1351
159	256	1346
160	257	1342
161	258	1338
162	259	1333
163	260	1329
164	261	1324
165	262	1320
166	263	1316
167	264	1312
168	266	1308
169	267	1303
170	268	1299
171	269	1295
172	270	1291
173	271	1288
174	272	1284
175	273	1280
176	274	1276
177	275	1272
178	276	1268
179	277	1264
180	278	1261
181	279	1258
182	281	1254
183	282	1250
184	283	1247
185	284	1244
186	285	1241
187	286	1238
188	287	1234
189	288	1231
190	289	1227
191	291	1224
192	291	1220
193	293	1217
194	294	1213
195	295	1210
196	296	1207
197	297	1204
198	298	1201
199	299	1198
200	300	1195
201	301	1192
202	302	1189
203	304	1186
204	305	1183
205	306	1180
206	307	1177
207	308	1173
208	309	1170
209	310	1167
210	311	1164
211	312	1160
212	313	1158
213	314	1155
214	315	1152
215	316	1149
216	317	1146
217	318	1143
218	319	1140
219	321	1138
220	322	1135
221	323	1133
222	324	1132
223	325	1129
224	327	1126
225	328	1123
226	328	1119
227	329	1115
228	330	1113
229	331	1110
230	332	1107
231	333	1105
232	334	1102
233	336	1100
234	337	1097
235	338	1094
236	339	1092
237	340	1089
238	341	1087
239	342	1083
240	343	1081
241	344	1078
242	345	1075
243	346	1073
244	347	1070
245	348	1068
246	349	1065
247	350	1063
248	351	1060
249	352	1057
250	353	1055
251	354	1053
252	355	1050
253	357	1048
254	358	1046
255	359	1043
256	360	1041
257	361	1038
258	362	1036
259	363	1034
260	364	1032
261	365	1029
262	366	1027
263	367	1024
264	368	1022
265	369	1020
266	370	1018
267	371	1015
268	372	1013
269	373	1010
270	374	1008
271	376	1006
272	377	1004
273	378	1002
274	379	999
275	380	997
276	381	995
277	382	993
278	383	990
279	384	988
280	385	986
281	386	984
282	387	981
283	388	979
284	389	977
285	390	975
286	391	973
287	393	971
288	394	969
289	395	967
290	396	965
291	397	963
292	398	961
293	399	958
294	400	957
295	401	955
296	402	953
297	403	950
298	404	949
299	405	947
300	406	945
301	408	943
302	409	941
303	410	938
304	411	937
305	412	935
306	413	933
307	414	931
308	415	929
309	416	927
310	417	925
311	418	923
312	419	921
313	420	919
314	421	917
315	422	915
316	424	913
317	425	911
318	426	909
319	427	907
320	428	905
321	429	903
322	430	901
323	431	899
324	432	898
325	433	896
326	434	894
327	435	892
328	436	890
329	437	889
330	439	887
331	440	885
332	441	883
333	442	882
334	443	880
335	444	878
336	445	876
337	446	874
338	448	873
339	449	871
340	450	870
341	451	868
342	452	866
343	453	865
344	455	864
345	456	862
346	457	860
347	458	859
348	459	857
349	460	855
350	461	853
351	462	851
352	463	850
353	464	848
354	465	846
355	467	844
356	468	843
357	469	841
358	470	839
359	471	838
360	472	836
361	473	834
362	474	833
363	475	831
364	476	829
365	478	828
366	479	826
367	480	824
368	481	823
369	482	821
370	483	819
371	484	818
372	485	816
373	486	814
374	488	813
375	489	811
376	490	810
377	491	808
378	492	806
379	493	805
380	494	803
381	495	802
382	496	800
383	497	798
384	498	796
385	499	794
386	500	793
387	501	791
388	502	789
389	503	788
390	504	786
391	505	784
392	506	782
393	507	781
394	508	779
395	509	777
396	511	776
397	512	774
398	513	773
399	514	771
400	515	769
401	516	768
402	517	766
403	518	765
404	519	763
405	520	761
406	521	760
407	522	758
408	524	757
409	525	755
410	526	754
411	527	752
412	528	750
413	529	749
414	530	747
415	531	746
416	532	744
417	533	743
418	534	741
419	535	740
420	537	738
421	538	737
422	539	735
423	540	733
424	541	732
425	542	730
426	543	728
427	544	727
428	545	725
429	546	724
430	547	722
431	548	720
432	549	719
433	550	717
434	551	716
435	552	714
436	553	712
437	554	711
438	555	709
439	556	708
440	557	706
441	558	705
442	559	703
443	560	702
444	562	701
445	563	699
446	564	698
447	565	697
448	567	695
449	568	694
450	569	693
451	570	691
452	571	690
453	573	689
454	574	688
455	575	686
456	576	685
457	577	683
458	578	682
459	580	680
460	581	679
461	582	678
462	583	676
463	584	675
464	585	673
465	586	672
466	588	671
467	589	670
468	590	669
469	592	667
470	593	666
471	594	664
472	595	663
473	596	661
474	597	660
475	598	659
476	599	657
477	600	656
478	602	654
479	603	653
480	604	652
481	605	650
482	606	649
483	607	647
484	608	646
485	609	645
486	610	643
487	611	642
488	613	640
489	614	639
490	615	637
491	616	636
492	617	635
493	618	633
494	619	632
495	620	630
496	622	629
497	623	628
498	624	626
499	625	625
500	626	623
501	627	622
502	628	620
503	629	619
504	630	618
505	631	616
506	632	615
507	633	613
508	634	612
509	635	610
510	636	609
511	637	608
512	639	606
513	640	605
514	641	604
515	642	603
516	644	601
517	645	600
518	646	598
519	647	597
520	648	596
521	649	594
522	650	593
523	651	592
524	652	590
525	653	589
526	654	587
527	655	586
528	656	584
529	657	583
530	658	581
531	659	580
532	660	579
533	661	577
534	663	576
535	664	574
536	665	573
537	666	572
538	667	570
539	668	569
540	669	568
541	670	566
542	671	565
543	672	564
544	673	562
545	675	561
546	676	559
547	677	558
548	678	557
549	679	555
550	680	554
551	681	553
552	682	551
553	684	550
554	685	549
555	686	547
556	687	546
557	688	545
558	689	543
559	690	542
560	691	541
561	692	539
562	694	538
563	695	537
564	696	536
565	697	534
566	698	533
567	699	532
568	700	530
569	701	529
570	703	528
571	704	526
572	705	525
573	706	524
574	707	522
575	708	521
576	709	520
577	710	518
578	711	517
579	713	516
580	714	515
581	715	513
582	716	512
583	717	511
584	718	509
585	719	508
586	721	507
587	722	505
588	723	504
589	724	503
590	725	501
591	726	500
592	727	499
593	728	498
594	729	496
595	730	495
596	731	493
597	732	492
598	733	491
599	735	490
600	736	488
601	737	487
602	738	486
603	739	484
604	740	483
605	741	482
606	742	480
607	743	479
608	744	478
609	745	476
610	746	475
611	748	474
612	749	472
613	750	471
614	751	470
615	752	468
616	753	467
617	754	466
618	755	465
619	756	463
620	757	462
621	759	461
622	760	459
623	761	458
624	762	457
625	763	456
626	764	454
627	765	453
628	766	452
629	767	450
630	768	449
631	769	447
632	770	446
633	771	445
634	772	444
635	773	442
636	774	441
637	775	440
638	777	438
639	778	437
640	779	436
641	780	435
642	781	433
643	782	432
644	783	431
645	784	429
646	785	428
647	786	427
648	787	426
649	788	424
650	790	423
651	791	422
652	792	420
653	793	419
654	794	418
655	794	416
656	795	415
657	796	414
658	798	412
659	799	411
660	800	410
661	801	409
662	802	407
663	803	406
664	804	405
665	805	403
666	806	402
667	807	401
668	808	399
669	809	398
670	810	397
671	811	396
672	812	394
673	813	393
674	814	392
675	815	391
676	817	389
677	818	388
678	819	387
679	820	385
680	821	384
681	822	383
682	823	382
683	824	380
684	825	379
685	826	378
686	827	376
687	828	375
688	829	374
689	830	373
690	831	371
691	832	370
692	833	369
693	834	367
694	835	366
695	836	365
696	837	364
697	838	362
698	839	361
699	840	360
700	842	359
701	843	357
702	844	356
703	845	355
704	846	354
705	847	352
706	848	351
707	849	350
708	850	349
709	851	347
710	852	346
711	853	345
712	854	344
713	855	342
714	856	341
715	857	340
716	859	339
717	860	337
718	861	336
719	862	335
720	863	334
721	864	332
722	865	331
723	866	330
724	867	329
725	868	327
726	869	326
727	870	325
728	871	324
729	872	322
730	873	321
731	874	320
732	876	319
733	877	317
734	877	316
735	879	315
736	880	314
737	881	312
738	882	311
739	883	310
740	884	309
741	885	307
742	886	306
743	887	305
744	888	304
745	889	302
746	890	301
747	892	300
748	893	299
749	894	298
750	895	296
751	896	295
752	897	294
753	898	293
754	899	291
755	900	290
756	901	289
757	902	288
758	903	286
759	904	285
760	905	284
761	906	283
762	907	281
763	908	280
764	909	279
765	910	278
766	911	276
767	912	275
768	913	274
769	914	273
770	915	272
771	917	270
772	918	269
773	919	268
774	920	267
775	921	266
776	922	264
777	923	263
778	925	262
779	926	261
780	927	260
781	928	258
782	929	257
783	930	256
784	931	255
785	932	253
786	933	252
787	934	251
788	935	250
789	936	249
790	937	247
791	938	246
792	940	245
793	941	244
794	942	242
795	943	241
796	944	240
797	945	239
798	946	238
799	947	236
800	948	235
801	949	234
802	951	233
803	952	232
804	953	230
805	954	229
806	955	228
807	956	227
808	957	226
809	958	224
810	959	223
811	960	222
812	962	221
813	963	220
814	964	218
815	965	217
816	966	216
817	967	215
818	968	214
819	969	212
820	970	211
821	971	210
822	972	209
823	973	208
824	974	206
825	976	205
826	977	204
827	978	203
828	979	201
829	980	200
830	981	199
831	982	198
832	983	197
833	984	195
834	985	194
835	986	193
836	987	192
837	988	191
838	989	189
839	990	188
840	991	187
841	992	186
842	993	185
843	994	183
844	995	182
845	996	181
846	997	180
847	998	179
848	999	177
849	1000	176
850	1001	175
851	1003	174
852	1004	173
853	1005	171
854	1006	170
855	1007	169
856	1008	168
857	1009	167
858	1011	165
859	1012	164
860	1013	163
861	1015	162
862	1016	161
863	1017	160
864	1019	159
865	1020	157
866	1021	156
867	1022	155
868	1023	154
869	1024	153
870	1025	151
871	1026	150
872	1027	149
873	1028	148
874	1029	147
875	1030	145
876	1032	144
877	1033	143
878	1034	142
879	1035	141
880	1036	139
881	1037	138
882	1038	137
883	1039	136
884	1040	135
885	1041	134
886	1042	132
887	1043	131
888	1044	130
889	1045	129
890	1046	128
891	1047	126
892	1049	125
893	1050	124
894	1051	123
895	1052	122
896	1053	120
897	1054	119
898	1055	118
899	1056	117
900	1057	116
901	1058	115
902	1059	113
903	1061	112
904	1062	111
905	1063	110
906	1064	109
907	1065	107
908	1066	106
909	1067	105
910	1069	104
911	1071	103
912	1073	102
913	1075	101
914	1078	100
915	1080	99
916	1082	97
917	1084	96
918	1086	95
919	1088	94
920	1091	93
