,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,LP001002,Male,No,0,Graduate,No,58490,0.0,,360.0,1.0,Urban,Y
1,LP001003,Male,Yes,1,Graduate,No,45830,15080.0,1280000.0,360.0,1.0,Rural,N
2,LP001005,Male,Yes,0,Graduate,Yes,30000,0.0,660000.0,360.0,1.0,Urban,Y
3,LP001006,Male,Yes,0,Not Graduate,No,25830,23580.0,1200000.0,360.0,1.0,Urban,Y
4,LP001008,Male,No,0,Graduate,No,60000,0.0,1410000.0,360.0,1.0,Urban,Y
5,LP001011,Male,Yes,2,Graduate,Yes,54170,41960.0,2670000.0,360.0,1.0,Urban,Y
6,LP001013,Male,Yes,0,Not Graduate,No,23330,15160.0,950000.0,360.0,1.0,Urban,Y
7,LP001014,Male,Yes,3+,Graduate,No,30360,25040.0,1580000.0,360.0,0.0,Semiurban,N
8,LP001018,Male,Yes,2,Graduate,No,40060,15260.0,1680000.0,360.0,1.0,Urban,Y
9,LP001020,Male,Yes,1,graduate,No,128410,109680.0,3490000.0,360.0,1.0,Semiurban,N
10,LP001024,Male,Yes,2,Graduate,No,32000,7000.0,700000.0,360.0,1.0,Urban,Y
10,LP001024,Male,Yes,2,Graduate,No,32000,7000.0,700000.0,360.0,1.0,Urban,Y
11,LP001027,Male,Yes,2,graduate,,25000,18400.0,1090000.0,360.0,1.0,Urban,Y
12,LP001028,Male,Yes,2,Graduate,No,30730,81060.0,2000000.0,360.0,1.0,Urban,Y
13,LP001029,Male,No,0,Graduate,No,18530,28400.0,1140000.0,360.0,1.0,Rural,N
14,LP001030,Male,Yes,2,Graduate,No,12990,10860.0,170000.0,120.0,1.0,Urban,Y
14,LP001030,Male,Yes,2,Graduate,No,12990,10860.0,170000.0,120.0,1.0,Urban,Y
15,LP001032,Male,No,0,Graduate,No,49500,0.0,1250000.0,360.0,1.0,Urban,Y
16,LP001034,Male,No,1,Not Graduate,No,35960,0.0,1000000.0,240.0,,Urban,Y
17,LP001036,Female,No,0,Graduate,No,35100,0.0,760000.0,360.0,0.0,Urban,N
18,LP001038,Male,Yes,0,Not Graduate,No,48870,0.0,1330000.0,360.0,1.0,Rural,N
19,LP001041,Male,Yes,0,Graduate,,26000,35000.0,1150000.0,,1.0,Urban,Y
20,LP001043,Male,Yes,0,Not Graduate,No,76600,0.0,1040000.0,360.0,0.0,Urban,N
21,LP001046,Male,Yes,1,Graduate,No,59550,56250.0,3150000.0,360.0,1.0,Urban,Y
22,LP001047,Male,Yes,0,Not Graduate,No,26000,19110.0,1160000.0,360.0,0.0,Semiurban,N
22,LP001047,Male,Yes,0,Not Graduate,No,26000,19110.0,1160000.0,360.0,0.0,Semiurban,N
23,LP001050,,Yes,2,Not Graduate,No,33650,19170.0,1120000.0,360.0,0.0,Rural,N
24,LP001052,Male,Yes,1,Graduate,,37170,29250.0,1510000.0,360.0,,Semiurban,N
24,LP001052,Male,Yes,1,Graduate,,37170,29250.0,1510000.0,360.0,,Semiurban,N
25,LP001066,Male,Yes,0,Graduate,Yes,95600,0.0,1910000.0,360.0,1.0,Semiurban,Y
25,LP001066,Male,Yes,0,Graduate,Yes,95600,0.0,1910000.0,360.0,1.0,Semiurban,Y
26,LP001068,Male,Yes,0,Graduate,No,27990,22530.0,1220000.0,360.0,1.0,Semiurban,Y
27,LP001073,Male,Yes,2,Not Graduate,No,42260,10400.0,1100000.0,360.0,1.0,Urban,Y
27,LP001073,Male,Yes,2,Not Graduate,No,42260,10400.0,1100000.0,360.0,1.0,Urban,Y
28,LP001086,Male,No,0,Not Graduate,No,14420,0.0,350000.0,360.0,1.0,Urban,N
29,LP001087,Female,No,2,Graduate,,37500,20830.0,1200000.0,360.0,1.0,Semiurban,Y
30,LP001091,Male,Yes,1,Graduate,,41660,33690.0,2010000.0,360.0,,Urban,N
31,LP001095,Male,No,0,Graduate,No,31670,0.0,740000.0,360.0,1.0,Urban,N
32,LP001097,Male,No,1,Graduate,Yes,46920,0.0,1060000.0,360.0,1.0,Rural,N
33,LP001098,Male,Yes,0,Graduate,No,35000,16670.0,1140000.0,360.0,1.0,Semiurban,Y
